국가별,2015
미국,6737358.6
러시아,2033335.0
일본,1317836.2
브라질,1041677.0
인도네시아,907334.0
독일,896657.9
멕시코,745778.8
캐나다,722918.3
대한민국,692626.5
오스트레일리아,544231.8
영국,513880.2
튀르키예,474967.5
프랑스,460283.7
이탈리아,445735.7
폴란드,383395.3
카자흐스탄,346827.1
스페인,333623.4
우크라이나,319166.6
네덜란드,194015.9
콜롬비아,170637.1
체코,128506.5
벨기에,118990.4
루마니아,117099.8
칠레,103039.0
그리스,95965.3
벨라루스,88307.5
뉴질랜드,79037.0
오스트리아,78884.5
이스라엘,78734.2
포르투갈,68178.6
헝가리,62201.1
아일랜드,61724.0
불가리아,60421.4
핀란드,55009.2
노르웨이,54362.8
스웨덴,53557.2
덴마크,50834.6
스위스,48903.5
슬로바키아,40869.6
크로아티아,24611.1
리투아니아,20155.1
에스토니아,17972.6
슬로베니아,16912.5
코스타리카,13603.6
라트비아,10744.8
룩셈부르크,10313.9
키프로스,8343.3
아이슬란드,4772.7
몰타,2129.2
리히텐슈타인,198.6
모나코,88.2
페루,0.0
중국,0.0
인도,0.0
이란,0.0
사우디아라비아,0.0
아르헨티나,0.0
남아프리카공화국,0.0
