,Year,sealevel,Hole Area,Minimum Ozone,co2, Population,Thickness,북극 해빙면적 평균(10^6km),남극 해빙면적 평균(10^6km)
0,1990,-22.84739583,19.2,124.2,22849.92,5.28,2.0358976638504864,9.668333333333333,8.6625
1,1991,-22.8140625,18.8,119.0,23056.4,5.37,2.0257630504352275,9.7425,8.674166666666666
2,1992,-20.24739583,22.3,114.3,22988.29,5.45,2.0242294546851,10.099166666666667,8.525
3,1993,-22.78072917,24.2,112.6,23124.0,5.54,1.9343196876600104,9.81,8.611666666666666
4,1994,-17.98072917,23.6,92.3,23260.29,5.62,1.9748267025089603,9.989166666666668,9.03
5,1996,-11.94739583,22.8,108.8,24214.92,5.79,1.8969180747567844,9.799166666666666,8.819166666666666
6,1997,-2.647395833,22.1,108.8,25292.92,5.87,1.9352927611367128,9.616666666666667,8.6575
7,1998,-10.8140625,25.9,98.8,24895.32,5.95,1.8308676971326163,9.626666666666667,8.814166666666667
8,1999,-0.247395833,23.3,102.9,24957.3,6.03,1.770937928827445,9.693333333333333,8.829166666666667
9,2000,2.952604167,24.8,98.7,25637.87,6.11,1.750909370199693,9.457500000000001,8.995
10,2001,4.719270833,25.0,100.9,25726.42,6.19,1.795824039938556,9.569166666666666,8.724166666666667
11,2002,2.152604167,12.0,157.4,26486.63,6.27,1.7520906746031748,9.356666666666667,8.505
12,2003,14.61927083,25.8,108.7,27308.37,6.35,1.714331982846902,9.289166666666667,9.066666666666666
13,2004,13.65260417,19.5,123.5,28826.48,6.43,1.6889268753200204,9.3675,9.0475
14,2005,12.11927083,24.4,113.8,29663.75,6.51,1.6721724462365593,9.020833333333334,8.7525
15,2006,9.519270833,26.6,98.4,30905.93,6.59,1.6205702828981057,8.8025,8.6675
16,2007,22.7859375,22.0,116.2,31608.28,6.67,1.5508038402457756,8.459999999999999,8.946666666666667
17,2008,30.45260417,25.2,114.0,31856.76,6.76,1.5437775089605736,9.235,9.280833333333334
18,2009,33.65260417,22.0,107.9,31769.89,6.84,1.5211691948284691,9.236666666666666,9.155
19,2010,33.87824005,19.4,128.5,33328.38,6.92,1.3780123399897592,8.979999999999999,9.1225
20,2011,36.71847075,24.7,106.5,33226.01,7.0,1.3364793906810035,8.775833333333333,8.691666666666666
21,2012,47.17390325,17.8,139.3,33620.34,7.09,1.3355615783410135,8.661666666666667,9.206666666666667
22,2013,41.33798668,21.0,132.7,34217.18,7.18,1.3648768241167435,9.238333333333333,9.658333333333333
23,2014,53.85737212,20.9,128.6,34558.59,7.26,1.503154723502304,9.105,9.829166666666667
24,2015,50.46170567,25.6,117.2,34521.91,7.35,1.5107794290834613,8.920833333333333,9.388333333333334
25,2016,54.34696367,20.7,123.2,35160.6,7.43,1.3833477086533537,8.325000000000001,8.353333333333333
26,2017,57.35599133,17.4,141.8,35588.7,7.52,1.293282859703021,8.706666666666667,8.083333333333334
27,2018,53.08512198,22.9,111.8,36441.55,7.6,1.3803040194572451,8.755,8.265833333333333
